,id,title,lang,phoneme,personAltLabel,personDescription,birth,death,age,name_parts
0,http://www.wikidata.org/entity/Q9546,אַל־גאַזאַלי@yid,yid,alɡasali,,פערסישער מוסולמענער פילאסאף און יוריסט,1056-01-01,1111-12-26,55,"{""name_part_0"": ""alɡasali""}"
1,http://www.wikidata.org/entity/Q318820,בנימן טודעלענס@yid,yid,bnimn todləns,,,1130-01-01,1174-01-01,44,"{""name_part_0"": ""bnimn"", ""name_part_1"": ""todləns""}"
2,http://www.wikidata.org/entity/Q714595,גיארגי דער פערטער לאשא@yid,yid,ɡjaʒɡi del peltəl laʃə,,גרוזיניעשער מלך,1191-01-01,1223-01-01,32,"{""name_part_0"": ""ɡjaʒɡi"", ""name_part_1"": ""del"", ""name_part_2"": ""peltəl"", ""name_part_3"": ""laʃə""}"
3,http://www.wikidata.org/entity/Q239486,"דייוויד דער צווייטער, מלך פון שאטלאנד@yid",yid,dejvid del tvejtəl malʃ pon ʃatland,"דעיוויד דער צווייטער, מלך פון שאטלאנד",,1324-03-05,1371-02-22,47,"{""name_part_0"": ""dejvid"", ""name_part_1"": ""del"", ""name_part_2"": ""tvejtəl"", ""name_part_3"": ""malʃ"", ""name_part_4"": ""pon"", ""name_part_5"": ""ʃatland""}"
4,http://www.wikidata.org/entity/Q61809176,Orso Orsini@yid,yid,olso olsini,,,1404-01-01,1424-07-28,20,"{""name_part_0"": ""olso"", ""name_part_1"": ""olsini""}"
5,http://www.wikidata.org/entity/Q7226,זשאן ד'ארק@yid,yid,saʃən dalk,,,1412-01-01,1431-06-08,19,"{""name_part_0"": ""saʃən"", ""name_part_1"": ""dalk""}"
6,http://www.wikidata.org/entity/Q47674,אמעריגא וועספוטשי@yid,yid,aməliɡə vespoti,אמעריגאָ וועספוטשי,,1454-03-18,1512-03-03,58,"{""name_part_0"": ""aməliɡə"", ""name_part_1"": ""vespoti""}"
7,http://www.wikidata.org/entity/Q675493,הענרי דער זיבעטער@yid,yid,henʒi del sibətel,,מלך פון ענגלאנד,1457-01-28,1509-04-21,52,"{""name_part_0"": ""henʒi"", ""name_part_1"": ""del"", ""name_part_2"": ""sibətel""}"
8,http://www.wikidata.org/entity/Q207953,עליזאבעט פון יארק@yid,yid,elisabet pon jalk,,,1466-02-20,1503-02-21,37,"{""name_part_0"": ""elisabet"", ""name_part_1"": ""pon"", ""name_part_2"": ""jalk""}"
9,http://www.wikidata.org/entity/Q711801,"ארטור, פרינץ פון וויילס@yid",yid,aʒtoʒ pʒint pon vejls,ארטור טיודאר,,1486-09-29,1502-04-02,16,"{""name_part_0"": ""aʒtoʒ"", ""name_part_1"": ""pʒint"", ""name_part_2"": ""pon"", ""name_part_3"": ""vejls""}"
10,http://www.wikidata.org/entity/Q1949189,"רמ""א@yid",yid,ʒamə,משה איסערלס,,1520-03-03,1572-05-20,52,"{""name_part_0"": ""ʒamə""}"
11,http://www.wikidata.org/entity/Q733598,משה קארדאווערא@yid,yid,maʃə kaʒdəvelə,"רמ""ק",די רמ״ק - איינער פון די הויפט מקובלים,1522-01-01,1570-07-07,48,"{""name_part_0"": ""maʃə"", ""name_part_1"": ""kaʒdəvelə""}"
12,http://www.wikidata.org/entity/Q339509,"אר""י הקדוש@yid",yid,aʒi hakdəʃ,,,1534-01-01,1572-08-04,38,"{""name_part_0"": ""aʒi"", ""name_part_1"": ""hakdəʃ""}"
13,http://www.wikidata.org/entity/Q5362047,אליהו בעל שם פֿון װירמײַזא@yid,yid,liho bel ʃam fon jaʒmaisa,,,1536-01-01,1583-01-01,47,"{""name_part_0"": ""liho"", ""name_part_1"": ""bel"", ""name_part_2"": ""ʃam"", ""name_part_3"": ""fon"", ""name_part_4"": ""jaʒmaisa""}"
14,http://www.wikidata.org/entity/Q83229,עדווארד דער זעקסטער@yid,yid,edvaʒd del sekstəl,,מלך פון ענגלאנד,1537-10-22,1553-07-16,16,"{""name_part_0"": ""edvaʒd"", ""name_part_1"": ""del"", ""name_part_2"": ""sekstəl""}"
15,http://www.wikidata.org/entity/Q166675,געארג ווילהעלם@yid,yid,ɡelk vilhelm,,"עלעקטאר און מארגראוו פון בראנדנבורג, הערצאג פון פרייסן",1595-11-13,1640-12-01,45,"{""name_part_0"": ""ɡelk"", ""name_part_1"": ""vilhelm""}"
16,http://www.wikidata.org/entity/Q9191,רענע דעקארט@yid,yid,lenə dekəʒt,,,1596-03-31,1650-02-11,54,"{""name_part_0"": ""lenə"", ""name_part_1"": ""dekəʒt""}"
17,http://www.wikidata.org/entity/Q122392,יאקאב בערנולי@yid,yid,jakəb bəʒnoli,,,1654-12-27,1705-08-16,51,"{""name_part_0"": ""jakəb"", ""name_part_1"": ""bəʒnoli""}"
18,http://www.wikidata.org/entity/Q87093,"שארל, עלעקטאר־פרינץ פון בראנדנבורג@yid",yid,ʃaʒl elektəʒplint pon blandnbolɡ,,,1655-02-16,1674-12-07,19,"{""name_part_0"": ""ʃaʒl"", ""name_part_1"": ""elektəʒplint"", ""name_part_2"": ""pon"", ""name_part_3"": ""blandnbolɡ""}"
19,http://www.wikidata.org/entity/Q151826,פרידריך דער ערשטער פון פרייסן@yid,yid,pʒidʒiʃ del elʃtəl pon pʒejsn,,,1657-07-11,1713-02-25,56,"{""name_part_0"": ""pʒidʒiʃ"", ""name_part_1"": ""del"", ""name_part_2"": ""elʃtəl"", ""name_part_3"": ""pon"", ""name_part_4"": ""pʒejsn""}"
20,http://www.wikidata.org/entity/Q5750050,חזקיה סילוא@yid,yid,ʃaskiə silvə,,,1659-01-01,1698-01-01,39,"{""name_part_0"": ""ʃaskiə"", ""name_part_1"": ""silvə""}"
21,http://www.wikidata.org/entity/Q244519,צבי הירש אשכנזי@yid,yid,tsbi hilʃ iʃnsi,,,1660-01-01,1718-05-03,58,"{""name_part_0"": ""tsbi"", ""name_part_1"": ""hilʃ"", ""name_part_2"": ""iʃnsi""}"
22,http://www.wikidata.org/entity/Q2908900,יהודה החסיד@yid,yid,jahodə haʃsid,,"פוילישער רב, האט זיך באזעצט אין ירושלים",1660-01-01,1700-10-17,40,"{""name_part_0"": ""jahodə"", ""name_part_1"": ""haʃsid""}"
23,http://www.wikidata.org/entity/Q130812,מאריא די צווייטע פון ענגלאַנד@yid,yid,maʒjə di tvejtə pon eŋland,,,1662-05-10,1695-01-07,33,"{""name_part_0"": ""maʒjə"", ""name_part_1"": ""di"", ""name_part_2"": ""tvejtə"", ""name_part_3"": ""pon"", ""name_part_4"": ""eŋland""}"
24,http://www.wikidata.org/entity/Q4684792,Adriaen Foly@yid,yid,adliaən foli,,,1664-01-01,1701-01-01,37,"{""name_part_0"": ""adliaən"", ""name_part_1"": ""foli""}"
25,http://www.wikidata.org/entity/Q1686098,יחיאל מיכל פון זלאטשאוו@yid,yid,jiʃjal miʃl pon slatəv,,,1725-01-01,1781-01-01,56,"{""name_part_0"": ""jiʃjal"", ""name_part_1"": ""miʃl"", ""name_part_2"": ""pon"", ""name_part_3"": ""slatəv""}"
26,http://www.wikidata.org/entity/Q7220725,"צבי הערש, זון פונעם בעל שם טוב@yid",yid,tsbi heʒʃ son ponəm bel ʃam tov,,,1725-01-01,1779-12-12,54,"{""name_part_0"": ""tsbi"", ""name_part_1"": ""heʒʃ"", ""name_part_2"": ""son"", ""name_part_3"": ""ponəm"", ""name_part_4"": ""bel"", ""name_part_5"": ""ʃam"", ""name_part_6"": ""tov""}"
27,http://www.wikidata.org/entity/Q1351984,שמואל שמעלקא הורוויץ@yid,yid,ʃmoəl ʃmelkə hoʒvit,,,1726-01-01,1778-04-28,52,"{""name_part_0"": ""ʃmoəl"", ""name_part_1"": ""ʃmelkə"", ""name_part_2"": ""hoʒvit""}"
28,http://www.wikidata.org/entity/Q7324,דזשיימס קוק@yid,yid,disʃejms kok,,,1728-10-27,1779-02-14,51,"{""name_part_0"": ""disʃejms"", ""name_part_1"": ""kok""}"
29,http://www.wikidata.org/entity/Q76997,משה מענדלסאן@yid,yid,maʃə mendlsən,משה מענדלסאהן,באקאנטער דייטשער משכיל,1729-09-06,1786-01-04,57,"{""name_part_0"": ""maʃə"", ""name_part_1"": ""mendlsən""}"
30,http://www.wikidata.org/entity/Q2857943,אהרן פון קארלין@yid,yid,əhaʒn pon kalin,רבי אהרן הגדול,רבי אהרן קארלינער,1736-01-01,1771-01-01,35,"{""name_part_0"": ""əhaʒn"", ""name_part_1"": ""pon"", ""name_part_2"": ""kalin""}"
31,http://www.wikidata.org/entity/Q2874500,אברהם המלאך@yid,yid,abləm hamləʃ,,,1739-01-01,1776-09-25,37,"{""name_part_0"": ""abləm"", ""name_part_1"": ""hamləʃ""}"
